make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 340ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=GET p=/assets/OAuthIcons-CI9hv_o3.js s=200 d=26µs s=2050
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=20µs s=1920
INF http m=GET p=/assets/InviteForm-D-yjV6nh.js s=200 d=120µs s=3892
INF http m=GET p=/assets/OAuthIcons-CI9hv_o3.js s=200 d=28µs s=2050
INF http m=POST p=/api/v1/organizations/NTDFLAL2000/workspaces s=200 d=217ms s=359
INF http m=GET p=/assets/Editor-CEnLIJ9I.js s=200 d=121µs s=46077
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=24µs s=1920
INF http m=GET p=/assets/Editor-BM-xf6DB.css s=200 d=101µs s=12520
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=117ms s=1043
INF http m=GET p=/assets/InviteForm-D-yjV6nh.js s=200 d=46µs s=3892
INF http m=GET p=/assets/Auth-Zd-4-xEf.js s=200 d=59µs s=4144
INF http m=GET p=/assets/Editor-CEnLIJ9I.js s=200 d=95µs s=46077
INF http m=GET p=/assets/Editor-BM-xf6DB.css s=200 d=64µs s=12520
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=38µs s=2890
INF http m=GET p=/assets/Auth-Zd-4-xEf.js s=200 d=66µs s=4144
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=104µs s=12
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=27µs s=2245
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=24.7ms s=1020
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=27µs s=2890
INF http m=GET p=/assets/AdminDashboard-DPzDzNUr.js s=200 d=438µs s=7257
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=30µs s=2245
INF http m=GET p=/manifest.webmanifest s=200 d=46µs s=455
INF http m=GET p=/assets/AdminDashboard-DPzDzNUr.js s=200 d=49µs s=7257
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/nodes/0/children s=200 d=422µs s=13
INF http m=GET p=/manifest.webmanifest s=200 d=28µs s=455
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=50µs s=12
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/nodes/0/children s=200 d=899µs s=13
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/events s=500 d=90µs s=24
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/events s=500 d=55µs s=24
