make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 434ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=19µs s=1913
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=28µs s=2050
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=77µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=149µs s=3892
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=49µs s=3892
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=29µs s=1920
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=18µs s=1920
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=84µs s=12701
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=72µs s=12701
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=187µs s=46497
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=80µs s=46497
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=56µs s=4144
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=51µs s=4144
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=28µs s=2890
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=25µs s=2890
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=38µs s=2245
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=28µs s=2245
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=51µs s=7257
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=66µs s=7257
INF http m=GET p=/manifest.webmanifest s=200 d=40µs s=455
INF http m=GET p=/manifest.webmanifest s=200 d=20µs s=455
INF http m=POST p=/api/v1/organizations/K5P108R4000/workspaces s=200 d=213ms s=358
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=93.8ms s=1020
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=11.9ms s=1042
INF http m=GET p=/api/v1/workspaces/K5P10H9O000/nodes/0/children s=200 d=316µs s=13
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=342µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=49µs s=12
INF http m=GET p=/api/v1/workspaces/K5P10HPI000/nodes/0/children s=200 d=151µs s=13
INF http m=POST p=/api/v1/workspaces/K5P10H9O000/nodes/0/page/create s=200 d=22.3ms s=21
INF http m=GET p=/api/v1/workspaces/K5P10H9O000/nodes/0/children s=200 d=174µs s=243
INF http m=GET p=/api/v1/workspaces/K5P10H9O000/nodes/K5P120HQ000 s=200 d=142µs s=231
INF http m=POST p=/api/v1/workspaces/K5P10HPI000/nodes/0/page/create s=200 d=18ms s=21
INF http m=GET p=/api/v1/workspaces/K5P10HPI000/nodes/0/children s=200 d=172µs s=243
INF http m=GET p=/api/v1/workspaces/K5P10HPI000/nodes/K5P123FC000 s=200 d=175µs s=231
INF http m=POST p=/api/v1/workspaces/K5P10HPI000/nodes/0/page/create s=200 d=15.5ms s=21
INF http m=POST p=/api/v1/workspaces/K5P10H9O000/nodes/0/page/create s=200 d=14.9ms s=21
INF http m=GET p=/w/@K5P10HPI000+workspace/@K5P123FC000+welcome s=200 d=24µs s=1227
INF http m=GET p=/w/@K5P10H9O000+workspace/@K5P120HQ000+welcome s=200 d=141µs s=1227
INF http m=GET p=/api/v1/auth/me s=200 d=361µs s=847
INF http m=GET p=/api/v1/auth/me s=200 d=138µs s=825
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=65µs s=12
