make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 347ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=77µs s=2346
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=321µs s=1034
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=34µs s=1913
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=25µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=20µs s=1913
INF http m=GET p=/assets/OrgSettingsPanel-CP46-0W8.js s=200 d=62µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-CP46-0W8.js s=200 d=105µs s=8155
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=108µs s=2050
INF http m=POST p=/api/v1/workspaces/K5H29P88000/nodes/0/page/create s=200 d=25.8ms s=21
INF http m=GET p=/api/v1/workspaces/K5H29P88000/nodes/0/children s=200 d=175µs s=243
INF http m=GET p=/assets/InviteForm-TxYpSwWA.js s=200 d=933µs s=3892
INF http m=POST p=/api/v1/workspaces/K5H29PD4000/nodes/0/page/create s=200 d=32.6ms s=21
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=28µs s=2050
INF http m=GET p=/api/v1/workspaces/K5H29PD4000/nodes/0/children s=200 d=149µs s=243
INF http m=GET p=/assets/InviteForm-TxYpSwWA.js s=200 d=58µs s=3892
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=18µs s=1920
INF http m=GET p=/api/v1/workspaces/K5H29P88000/nodes/K5H2B8E8000 s=200 d=190µs s=231
INF http m=GET p=/api/v1/workspaces/K5H29PD4000/nodes/K5H2B89G000 s=200 d=198µs s=231
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=21µs s=1920
INF http m=GET p=/assets/Editor-D2SaPuGO.js s=200 d=95µs s=46497
INF http m=GET p=/assets/Editor-D2SaPuGO.js s=200 d=103µs s=46497
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=87µs s=12701
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=65µs s=12701
INF http m=GET p=/assets/Auth-amV73hme.js s=200 d=107µs s=4144
INF http m=GET p=/assets/Auth-amV73hme.js s=200 d=579µs s=4144
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=26µs s=2890
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=75µs s=2890
INF http m=GET p=/assets/AdminDashboard-ySWNsZN7.js s=200 d=61µs s=7257
INF http m=GET p=/assets/AdminDashboard-ySWNsZN7.js s=200 d=53µs s=7257
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=410µs s=2245
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=26µs s=2245
INF http m=GET p=/manifest.webmanifest s=200 d=27µs s=455
