make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 362ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=40µs s=1913
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=37µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=66µs s=3892
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=27µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=99µs s=3892
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=22µs s=1920
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=26µs s=1920
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=83µs s=12701
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=59µs s=12701
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=98µs s=46497
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=268µs s=46497
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=80µs s=4144
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=106µs s=4144
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=91µs s=2890
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=28µs s=2890
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=34µs s=2245
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=36µs s=2245
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=192µs s=7257
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=55µs s=7257
INF http m=GET p=/manifest.webmanifest s=200 d=46µs s=455
INF http m=GET p=/manifest.webmanifest s=200 d=22µs s=455
INF http m=POST p=/api/v1/organizations/KGI5SM6I000/workspaces s=200 d=221ms s=359
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=97.8ms s=1043
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=13.7ms s=1020
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=37µs s=12
INF http m=GET p=/api/v1/workspaces/KGI5SU7S000/nodes/0/children s=200 d=342µs s=13
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=101µs s=12
INF http m=GET p=/api/v1/workspaces/KGI5T04G000/nodes/0/children s=200 d=138µs s=13
INF http m=POST p=/api/v1/workspaces/KGI5SU7S000/nodes/0/page/create s=200 d=24.3ms s=21
INF http m=GET p=/api/v1/workspaces/KGI5SU7S000/nodes/0/children s=200 d=193µs s=243
INF http m=POST p=/api/v1/workspaces/KGI5T04G000/nodes/0/page/create s=200 d=22.3ms s=21
INF http m=GET p=/api/v1/workspaces/KGI5SU7S000/nodes/KGI5UFIG000 s=200 d=189µs s=231
INF http m=GET p=/api/v1/workspaces/KGI5T04G000/nodes/0/children s=200 d=141µs s=243
INF http m=GET p=/api/v1/workspaces/KGI5T04G000/nodes/KGI5UI0O000 s=200 d=247µs s=231
INF http m=POST p=/api/v1/workspaces/KGI5T04G000/nodes/0/page/create s=200 d=15.3ms s=21
INF http m=POST p=/api/v1/workspaces/KGI5SU7S000/nodes/0/page/create s=200 d=15.8ms s=21
INF http m=GET p=/w/@KGI5T04G000+workspace/@KGI5UI0O000+welcome s=200 d=33µs s=1227
INF http m=GET p=/w/@KGI5SU7S000+workspace/@KGI5UFIG000+welcome s=200 d=45µs s=1227
INF http m=GET p=/api/v1/auth/me s=200 d=214µs s=825
INF http m=GET p=/api/v1/auth/me s=200 d=83µs s=848
