make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 420ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=21µs s=1913
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=35µs s=2050
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=73µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=302µs s=3892
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=53µs s=3892
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=21µs s=1920
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=18µs s=1920
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=61µs s=12701
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=68µs s=12701
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=94µs s=46497
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=100µs s=46497
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=93µs s=4144
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=45µs s=4144
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=30µs s=2890
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=29µs s=2890
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=28µs s=2245
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=57µs s=7257
INF http m=POST p=/api/v1/organizations/KGQPD4PK000/workspaces s=200 d=215ms s=359
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=26µs s=2245
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=50µs s=7257
INF http m=GET p=/manifest.webmanifest s=200 d=34µs s=455
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=104ms s=1020
INF http m=GET p=/manifest.webmanifest s=200 d=25µs s=455
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=14.1ms s=1043
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=61µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPDCGG000/nodes/0/children s=200 d=333µs s=13
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=56µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPDCLK000/nodes/0/children s=200 d=115µs s=13
INF http m=POST p=/api/v1/workspaces/KGQPDCGG000/nodes/0/page/create s=200 d=21.3ms s=21
INF http m=GET p=/api/v1/workspaces/KGQPDCGG000/nodes/0/children s=200 d=163µs s=243
INF http m=GET p=/api/v1/workspaces/KGQPDCGG000/nodes/KGQPETL8000 s=200 d=150µs s=231
INF http m=POST p=/api/v1/workspaces/KGQPDCLK000/nodes/0/page/create s=200 d=17.3ms s=21
INF http m=GET p=/api/v1/workspaces/KGQPDCLK000/nodes/0/children s=200 d=277µs s=243
INF http m=GET p=/api/v1/workspaces/KGQPDCLK000/nodes/KGQPF1J4000 s=200 d=154µs s=231
INF http m=POST p=/api/v1/workspaces/KGQPDCLK000/nodes/0/page/create s=200 d=14.6ms s=21
INF http m=POST p=/api/v1/workspaces/KGQPDCGG000/nodes/0/page/create s=200 d=17.9ms s=21
INF http m=GET p=/w/@KGQPDCGG000+workspace/@KGQPETL8000+welcome s=200 d=30µs s=1227
INF http m=GET p=/w/@KGQPDCLK000+workspace/@KGQPF1J4000+welcome s=200 d=31µs s=1227
INF http m=GET p=/api/v1/auth/me s=200 d=133µs s=825
INF http m=GET p=/api/v1/auth/me s=200 d=167µs s=848
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=445µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPDCLK000/nodes/0/children s=200 d=216µs s=436
INF http m=GET p=/api/v1/workspaces/KGQPDCLK000/nodes/KGQPF1J4000 s=200 d=165µs s=231
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=56µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPDCGG000/nodes/0/children s=200 d=171µs s=436
INF http m=GET p=/api/v1/workspaces/KGQPDCGG000/nodes/KGQPETL8000 s=200 d=117µs s=231
