make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 355ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=GET p=/assets/OrgSettingsPanel-BJzQ9rNF.js s=200 d=111µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-BJzQ9rNF.js s=200 d=90µs s=8155
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=114ms s=1020
INF http m=GET p=/assets/OAuthIcons-DWJpMu2F.js s=200 d=68µs s=2050
INF http m=GET p=/assets/OAuthIcons-DWJpMu2F.js s=200 d=44µs s=2050
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=28µs s=1920
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=25µs s=1920
INF http m=GET p=/assets/InviteForm-CDBr-8PP.js s=200 d=54µs s=3892
INF http m=GET p=/assets/InviteForm-CDBr-8PP.js s=200 d=46µs s=3892
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=29.1ms s=1043
INF http m=GET p=/assets/Editor-vtYC6vkG.js s=200 d=115µs s=46436
INF http m=GET p=/assets/Editor-vtYC6vkG.js s=200 d=92µs s=46436
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=74µs s=12701
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=63µs s=12701
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=39µs s=2890
INF http m=GET p=/api/v1/workspaces/KHP5AKKG000/nodes/0/children s=200 d=411µs s=13
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=43µs s=2890
INF http m=GET p=/api/v1/workspaces/KHP5AKNI000/nodes/0/children s=200 d=398µs s=13
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=108µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=255µs s=12
INF http m=GET p=/assets/Auth-CmLSGrZy.js s=200 d=111µs s=4144
INF http m=GET p=/assets/Auth-CmLSGrZy.js s=200 d=53µs s=4144
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=49µs s=2245
INF http m=GET p=/assets/AdminDashboard-DkWWkENP.js s=200 d=62µs s=7257
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=32µs s=2245
INF http m=GET p=/manifest.webmanifest s=200 d=527µs s=455
INF http m=GET p=/assets/AdminDashboard-DkWWkENP.js s=200 d=1.94ms s=7257
INF http m=POST p=/api/v1/workspaces/KHP5AKNI000/nodes/0/page/create s=200 d=34.3ms s=21
INF http m=GET p=/manifest.webmanifest s=200 d=35µs s=455
INF http m=GET p=/api/v1/workspaces/KHP5AKNI000/nodes/0/children s=200 d=174µs s=243
INF http m=POST p=/api/v1/workspaces/KHP5AKKG000/nodes/0/page/create s=200 d=41.5ms s=21
INF http m=GET p=/api/v1/workspaces/KHP5AKKG000/nodes/0/children s=200 d=182µs s=243
INF http m=GET p=/api/v1/workspaces/KHP5AKNI000/nodes/KHP5C6K2000 s=200 d=178µs s=231
INF http m=GET p=/api/v1/workspaces/KHP5AKKG000/nodes/KHP5C6AG000 s=200 d=207µs s=231
INF http m=POST p=/api/v1/workspaces/KHP5AKNI000/nodes/0/page/create s=200 d=17.5ms s=21
INF http m=POST p=/api/v1/workspaces/KHP5AKKG000/nodes/0/page/create s=200 d=15.4ms s=21
INF http m=GET p=/w/@KHP5AKNI000+workspace/@KHP5C6K2000+welcome s=200 d=29µs s=1227
INF http m=GET p=/w/@KHP5AKKG000+workspace/@KHP5C6AG000+welcome s=200 d=20µs s=1227
INF http m=GET p=/api/v1/auth/me s=200 d=835µs s=825
INF http m=GET p=/api/v1/auth/me s=200 d=99µs s=848
