make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=:8080
INF http m=GET p=/workbox-daba6f28.js s=200 d=83µs s=21874 ip=::1
INF http m=GET p=/favicon.png s=200 d=22µs s=444 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=66µs s=21874 ip=::1
INF http m=GET p=/registerSW.js s=200 d=21µs s=134 ip=::1
INF http m=GET p=/index.html s=301 d=13µs ip=::1
INF http m=GET p=/ s=200 d=19µs s=1143 ip=::1
INF http m=GET p=/registerSW.js s=200 d=22µs s=134 ip=::1
INF http m=GET p=/index.html s=301 d=37µs ip=::1
INF http m=GET p=/ s=200 d=19µs s=1143 ip=::1
INF http m=POST p=/api/auth/register s=200 d=70.9ms s=461 ip=::1
INF http m=GET p=/ s=200 d=42µs s=1143 ip=::1
INF http m=POST p=/api/auth/register s=200 d=71ms s=466 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=154µs s=103976 ip=::1
INF http m=GET p=/ s=200 d=26µs s=1143 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=95µs s=28228 ip=::1
INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=105µs s=43351 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=174µs s=103976 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=425µs s=43351 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=157µs s=28228 ip=::1
INF http m=GET p=/registerSW.js s=200 d=1.08ms s=134 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=32µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=105µs s=193 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=108µs s=10163 ip=::1
INF http m=POST p=/api/organizations s=200 d=211µs s=424 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=18µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=135µs s=195 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=101µs s=10163 ip=::1
INF http m=GET p=/sw.js s=200 d=50µs s=2452 ip=::1
INF http m=GET p=/favicon.png s=200 d=25µs s=444 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=85µs s=21874 ip=::1
