make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 349ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=37µs s=6652
INF http m=GET p=/api/v1/workspaces/JUKDT7K4000/nodes/0/children s=200 d=188µs s=243
INF http m=GET p=/assets/ProfileSettings-B_bJfTXk.js s=200 d=74µs s=14578
INF http m=GET p=/assets/ProfileSettings-B_bJfTXk.js s=200 d=75µs s=14578
INF http m=GET p=/api/v1/workspaces/JUKDT7IM000/nodes/JUKDUKTC000 s=200 d=132µs s=231
INF http m=GET p=/api/v1/workspaces/JUKDT7K4000/nodes/JUKDULKQ000 s=200 d=1.37ms s=231
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=25µs s=1034
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=20µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=58µs s=2346
INF http m=GET p=/assets/Editor-B5wjv0Fl.js s=200 d=93µs s=46497
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=91µs s=12701
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=499µs s=2346
INF http m=GET p=/assets/Editor-B5wjv0Fl.js s=200 d=87µs s=46497
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=79µs s=12701
INF http m=GET p=/assets/OrgSettingsPanel-DxeapQvN.js s=200 d=450µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DxeapQvN.js s=200 d=66µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=22µs s=1913
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=19µs s=1913
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=50µs s=2050
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=27µs s=2050
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=26µs s=1920
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=49µs s=1920
INF http m=GET p=/assets/InviteForm-CzWEvg1O.js s=200 d=55µs s=3892
INF http m=GET p=/assets/InviteForm-CzWEvg1O.js s=200 d=46µs s=3892
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=41µs s=2890
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=30µs s=2890
INF http m=GET p=/assets/Auth-B3xWybtr.js s=200 d=48µs s=4144
INF http m=GET p=/assets/Auth-B3xWybtr.js s=200 d=48µs s=4144
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=33µs s=2245
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=26µs s=2245
INF http m=GET p=/assets/AdminDashboard-DlVXM1DT.js s=200 d=78µs s=7257
INF http m=GET p=/assets/AdminDashboard-DlVXM1DT.js s=200 d=459µs s=7257
INF http m=GET p=/manifest.webmanifest s=200 d=35µs s=455
INF http m=GET p=/manifest.webmanifest s=200 d=67µs s=455
INF http m=POST p=/api/v1/workspaces/JUKDT7K4000/nodes/0/page/create s=200 d=13.8ms s=21
